,Candidates,RegNum,Party Number,District Number,Mandates,Total Votes,Quota,Rank
928,KAUL NURM,207,1,11,8,222.0,5386.25,1
929,MARIKA PARV,208,1,11,8,157.0,5386.25,51
930,ANNIKA TOOTS,211,1,11,8,59.0,5386.25,75
931,ÜLLAR VANA,210,1,11,8,40.0,5386.25,63
932,URMAS OTT,209,1,11,8,33.0,5386.25,37
933,KATI KONGO,212,1,11,8,22.0,5386.25,87
934,KRISTI VARUL,216,1,11,8,21.0,5386.25,117
935,TÕNIS LUKATS,213,1,11,8,19.0,5386.25,97
936,URMET KÜLAOTS,214,1,11,8,19.0,5386.25,107
937,MIHKEL MÄLLO,215,1,11,8,14.0,5386.25,113
938,HANNO PEVKUR,332,2,11,8,3595.0,5386.25,4
939,LIINA KERSNA,333,2,11,8,2343.0,5386.25,16
940,MAIDO RUUSMANN,334,2,11,8,1093.0,5386.25,52
941,ANDRUS SEEME,335,2,11,8,764.0,5386.25,27
942,AIVAR ROSENBERG,337,2,11,8,512.0,5386.25,88
943,MARGUS LEPIK,338,2,11,8,449.0,5386.25,51
944,ÜLO NEEDO,339,2,11,8,428.0,5386.25,59
945,ANTI HAUGAS,340,2,11,8,379.0,5386.25,49
946,PEETER SIBUL,341,2,11,8,302.0,5386.25,57
947,EINIKE MÖLDER,336,2,11,8,164.0,5386.25,119
948,INGA RAITAR,457,3,11,8,269.0,5386.25,5
949,ZOJA MELLOV,458,3,11,8,63.0,5386.25,24
950,STINA RAMMUL,460,3,11,8,28.0,5386.25,114
951,ARVI MATVEI,459,3,11,8,19.0,5386.25,39
952,EVE ROOTS,465,3,11,8,16.0,5386.25,98
953,HARRI TILK,462,3,11,8,13.0,5386.25,69
954,MOONIKA MALMRE,463,3,11,8,12.0,5386.25,80
955,MARGARITA RANDVIIR,461,3,11,8,9.0,5386.25,55
956,MEIDI TIIMUS,466,3,11,8,6.0,5386.25,74
957,PIRET KÄIGE,464,3,11,8,5.0,5386.25,90
958,IVARI PADAR,582,4,11,8,1457.0,5386.25,122
959,ANTI ALLAS,591,4,11,8,789.0,5386.25,100
960,KALVI KÕVA,585,4,11,8,605.0,5386.25,3
961,REIN RANDVER,584,4,11,8,499.0,5386.25,14
962,INARA LUIGAS,586,4,11,8,404.0,5386.25,57
963,SIRJE TOBRELUTS,583,4,11,8,401.0,5386.25,45
964,KAUPO KUTSAR,590,4,11,8,315.0,5386.25,91
965,TARMO TAMM,589,4,11,8,268.0,5386.25,81
966,REIN JÄRVELILL,587,4,11,8,216.0,5386.25,33
967,MAIRE MURUMAA,588,4,11,8,80.0,5386.25,69
968,RAINER KUUBA,658,5,11,8,416.0,5386.25,10
969,AIRI HALLIK-KONNULA,659,5,11,8,141.0,5386.25,14
970,ÜLLE KAUKSI,666,5,11,8,126.0,5386.25,71
971,EDA VEEROJA,661,5,11,8,85.0,5386.25,22
972,OLIVER LOODE,663,5,11,8,43.0,5386.25,48
973,REIN LEPP,665,5,11,8,40.0,5386.25,56
974,LILIAN FREIBERG,662,5,11,8,24.0,5386.25,42
975,ALEXANDER LINNAMÄE,660,5,11,8,18.0,5386.25,16
976,REIN EINASTO,664,5,11,8,12.0,5386.25,55
977,UNO KASKPEIT,780,6,11,8,3802.0,5386.25,23
978,MERRY AART,781,6,11,8,1245.0,5386.25,6
979,TIIT KALA,782,6,11,8,1033.0,5386.25,21
980,INDREK KÄO,784,6,11,8,991.0,5386.25,57
981,ANTS TAUL,786,6,11,8,814.0,5386.25,84
982,KALMAR LUISK,787,6,11,8,786.0,5386.25,94
983,JÜRI KAVER,789,6,11,8,716.0,5386.25,118
984,ARNO SILD,783,6,11,8,575.0,5386.25,19
985,MEELIS AIANURM,788,6,11,8,480.0,5386.25,105
986,GAIUS GIL,785,6,11,8,202.0,5386.25,71
987,IGOR TARO,905,7,11,8,1007.0,5386.25,11
988,EINAR VISNAPUU,906,7,11,8,260.0,5386.25,15
989,EPP PETRONE,914,7,11,8,139.0,5386.25,121
990,MERLIS PAJUSTIK,909,7,11,8,118.0,5386.25,48
991,MIKK MÄESAAR,911,7,11,8,90.0,5386.25,79
992,KRISTA SILDOJA,908,7,11,8,77.0,5386.25,70
993,HERKO SUNTS,913,7,11,8,74.0,5386.25,95
994,ARE SELGE,907,7,11,8,72.0,5386.25,56
995,KATRIN JÕGEVA,912,7,11,8,43.0,5386.25,114
996,MARGIT LAIL,910,7,11,8,29.0,5386.25,106
997,TARMO TAMM,1030,8,11,8,2824.0,5386.25,29
998,ESTER KARUSE,1033,8,11,8,1665.0,5386.25,27
999,ANNELI OTT,1031,8,11,8,1474.0,5386.25,14
1000,HEIMAR LENK,1032,8,11,8,1176.0,5386.25,43
1001,ÜLO TULIK,1039,8,11,8,559.0,5386.25,94
1002,JANIKA USIN,1035,8,11,8,450.0,5386.25,69
1003,ANDRE LAINE,1034,8,11,8,326.0,5386.25,81
1004,ÜLLE JUHT,1037,8,11,8,325.0,5386.25,93
1005,JAANUS RAIDAL,1036,8,11,8,242.0,5386.25,92
1006,JÜRI SAAR,1038,8,11,8,156.0,5386.25,102
1007,PRIIT SIBUL,1166,10,11,8,1406.0,5386.25,5
1008,MEELIS MÕTTUS,1168,10,11,8,644.0,5386.25,43
1009,ULLA PREEDEN,1169,10,11,8,510.0,5386.25,52
1010,MERLE JÄÄGER,1167,10,11,8,474.0,5386.25,26
1011,KURMET MÜÜRSEPP,1170,10,11,8,273.0,5386.25,62
1012,MONIKA ROGENBAUM,1175,10,11,8,271.0,5386.25,111
1013,ARNE TILK,1171,10,11,8,224.0,5386.25,73
1014,KALLE VISTER,1172,10,11,8,169.0,5386.25,84
1015,TOOMAS PIIRMANN,1173,10,11,8,135.0,5386.25,95
1016,AIN PAJO,1174,10,11,8,47.0,5386.25,104
1017,ÜLLAR KRUUSTIK,1194,11,11,8,112.0,5386.25,0
1018,TANEL HÄIDKIND,1195,11,11,8,61.0,5386.25,0
1019,TOOMAS ALATALU,217,1,12,7,190.0,5887.86,52
1020,HELI KÜNNAPAS,218,1,12,7,151.0,5887.86,14
1021,ELMO JOA,219,1,12,7,49.0,5887.86,64
1022,ALLAR SAU,221,1,12,7,28.0,5887.86,88
1023,ÜLLE ORAV,223,1,12,7,19.0,5887.86,108
1024,FREDY VABRIT,220,1,12,7,18.0,5887.86,76
1025,REIN PRINS,225,1,12,7,14.0,5887.86,118
1026,DANDY ROSENBERG,222,1,12,7,9.0,5887.86,98
1027,JÜRGEN POST,224,1,12,7,3.0,5887.86,114
1028,TOOMAS KIVIMÄGI,342,2,12,7,5202.0,5887.86,26
1029,ANNELY AKKERMANN,343,2,12,7,2397.0,5887.86,36
1030,JÜRI JAANSON,344,2,12,7,1139.0,5887.86,28
1031,MARIKA VALTER,348,2,12,7,526.0,5887.86,72
1032,TOOMAS RÕHU,345,2,12,7,421.0,5887.86,95
1033,JÜRI LEBEDEV,350,2,12,7,372.0,5887.86,74
1034,ANDRES MÕIS,347,2,12,7,289.0,5887.86,106
1035,MADIS KOIT,349,2,12,7,268.0,5887.86,94
1036,MEELI PÄRNA,346,2,12,7,246.0,5887.86,77
1037,KRISTER KIVI,467,3,12,7,246.0,5887.86,33
1038,MIKK PÄRNITS,469,3,12,7,52.0,5887.86,116
1039,TIIA KÕNNUSSAAR,475,3,12,7,50.0,5887.86,119
1040,ANU PALUOJA,471,3,12,7,36.0,5887.86,115
1041,KRISTA LEHARI,474,3,12,7,34.0,5887.86,91
1042,JOHANNES SARAPUU,473,3,12,7,30.0,5887.86,81
1043,TIINA KILKSON,470,3,12,7,26.0,5887.86,121
1044,MARGIT ADORF,468,3,12,7,19.0,5887.86,34
1045,SVEN ARULAID,472,3,12,7,13.0,5887.86,70
1046,INDREK TARAND,592,4,12,7,1061.0,5887.86,123
1047,MADIS VESKIMÄGI,596,4,12,7,429.0,5887.86,46
1048,KADRI-AIJA VIIK,593,4,12,7,358.0,5887.86,34
1049,KALEV KALJUSTE,594,4,12,7,352.0,5887.86,18
1050,MERCEDES MERIMAA,595,4,12,7,192.0,5887.86,70
1051,TATJANA JAANSON,598,4,12,7,130.0,5887.86,92
1052,JAAN KRINAL,600,4,12,7,100.0,5887.86,58
1053,ANET TOMAŠPOLSKAJA,599,4,12,7,86.0,5887.86,101
1054,REELIKA RÜÜTLI,597,4,12,7,72.0,5887.86,82
1055,MATI KOSE,667,5,12,7,270.0,5887.86,8
1056,AIVAR RUUKEL,668,5,12,7,149.0,5887.86,15
1057,TAUNO JÜRGENSTEIN,671,5,12,7,84.0,5887.86,63
1058,GRETE PERTEL,669,5,12,7,39.0,5887.86,27
1059,KERSTI REPPO,670,5,12,7,39.0,5887.86,38
1060,THEA PERM,673,5,12,7,39.0,5887.86,67
1061,TEHO PAULUS,672,5,12,7,4.0,5887.86,66
1062,MART HELME,790,6,12,7,9170.0,5887.86,1
1063,ALAR LANEMAN,791,6,12,7,673.0,5887.86,20
1064,HELLE KULLERKUPP,793,6,12,7,410.0,5887.86,49
1065,MEELIS MALK,796,6,12,7,312.0,5887.86,41
1066,KAIDI SUVISTE,797,6,12,7,239.0,5887.86,77
1067,SIIMO LOPSIK,798,6,12,7,234.0,5887.86,67
1068,HELDUR PAULSON,792,6,12,7,204.0,5887.86,25
1069,EDMOND PENU,794,6,12,7,174.0,5887.86,37
1070,ROBERT KIVISELG,795,6,12,7,159.0,5887.86,59
1071,KADRI TALI,915,7,12,7,872.0,5887.86,4
1072,JANNO KULDKEPP,916,7,12,7,159.0,5887.86,58
1073,MATI TIIMUS,920,7,12,7,116.0,5887.86,97
1074,TOOMAS PAJULA,923,7,12,7,67.0,5887.86,47
1075,SIRJE NIITRA,917,7,12,7,64.0,5887.86,41
1076,TARMO VALGEPEA,918,7,12,7,56.0,5887.86,118
1077,SIGRIT ROOSILEHT,919,7,12,7,22.0,5887.86,71
1078,MONIKA SIRULI,922,7,12,7,22.0,5887.86,115
1079,JEVGENI GORLEVSKI,921,7,12,7,12.0,5887.86,112
1080,KADRI SIMSON,1040,8,12,7,5741.0,5887.86,2
1081,MARKO ŠORIN,1042,8,12,7,686.0,5887.86,26
1082,MIKK PIKKMETS,1041,8,12,7,585.0,5887.86,110
1083,HILLAR TALVIK,1048,8,12,7,277.0,5887.86,52
1084,AVO KEEL,1047,8,12,7,180.0,5887.86,124
1085,KRISTA NÕMM,1043,8,12,7,139.0,5887.86,83
1086,ARDO AASA,1044,8,12,7,106.0,5887.86,78
1087,ANTS LOPSIK,1045,8,12,7,102.0,5887.86,68
1088,ANDRES ANNAST,1046,8,12,7,97.0,5887.86,99
1089,VJATŠESLAV MAKARONSKI,1059,9,12,7,41.0,5887.86,9
1090,ANDRES METSOJA,1176,10,12,7,2228.0,5887.86,7
1091,LAURI LUUR,1178,10,12,7,663.0,5887.86,44
1092,ELA TOMSON,1177,10,12,7,501.0,5887.86,34
1093,KUNO ERKMANN,1181,10,12,7,367.0,5887.86,74
1094,SIIM SUURSILD,1179,10,12,7,301.0,5887.86,53
1095,URMAS AAVA,1183,10,12,7,284.0,5887.86,96
1096,MEELIS KUKK,1180,10,12,7,279.0,5887.86,63
1097,JAANUS PÕLDMAA,1182,10,12,7,278.0,5887.86,85
1098,AARE ARVA,1184,10,12,7,144.0,5887.86,105
